Date,Meninggal (baru),Sembuh (baru)
11 Agu 2021,1579,39931
12 Agu 2021,1466,36637
13 Agu 2021,1432,42003
14 Agu 2021,1270,31880
15 Agu 2021,1222,30361
16 Agu 2021,1245,29925
17 Agu 2021,1180,32225
18 Agu 2021,1128,29794
19 Agu 2021,1492,29012
20 Agu 2021,1348,26122
21 Agu 2021,1361,23011
22 Agu 2021,1030,24276
23 Agu 2021,842,24758
24 Agu 2021,1038,35082
25 Agu 2021,1041,33703
26 Agu 2021,889,30099
27 Agu 2021,599,19290
28 Agu 2021,591,18594
29 Agu 2021,551,16468
30 Agu 2021,568,19398
31 Agu 2021,532,16781
1 Sep 2021,653,16394
2 Sep 2021,680,21208
3 Sep 2021,574,15544
4 Sep 2021,539,13806
5 Sep 2021,392,10191
6 Sep 2021,612,13049
7 Sep 2021,683,14159
8 Sep 2021,626,11912
9 Sep 2021,334,10650
10 Sep 2021,315,14356
11 Sep 2021,270,7586
12 Sep 2021,188,9401
13 Sep 2021,276,12474
14 Sep 2021,250,11246
15 Sep 2021,267,11046
16 Sep 2021,237,14633
17 Sep 2021,219,7912
18 Sep 2021,185,7076
19 Sep 2021,145,6186
20 Sep 2021,166,6799
21 Sep 2021,171,6581
22 Sep 2021,149,5356
23 Sep 2021,160,4386
24 Sep 2021,144,4607
25 Sep 2021,123,3746
26 Sep 2021,86,2976
27 Sep 2021,118,3771
28 Sep 2021,124,3551
29 Sep 2021,117,3077
30 Sep 2021,113,2848
1 Okt 2021,87,2811
2 Okt 2021,89,2380
3 Okt 2021,58,2020
4 Okt 2021,88,2656
5 Okt 2021,77,2558
6 Okt 2021,75,2851
7 Okt 2021,81,1946
8 Okt 2021,66,3514
9 Okt 2021,52,1507
10 Okt 2021,39,1584
11 Okt 2021,65,2444
12 Okt 2021,47,2130
13 Okt 2021,48,2259
14 Okt 2021,37,1715
15 Okt 2021,41,1408
16 Okt 2021,44,1525
17 Okt 2021,19,1086
18 Okt 2021,47,1593
19 Okt 2021,50,1530
20 Okt 2021,28,1207
21 Okt 2021,43,1372
22 Okt 2021,33,1231
23 Okt 2021,23,1066
24 Okt 2021,29,1037
25 Okt 2021,30,1236
26 Okt 2021,35,1141
27 Okt 2021,29,944
28 Okt 2021,34,984
29 Okt 2021,28,681
30 Okt 2021,27,698
31 Okt 2021,17,497
1 Nov 2021,18,784
2 Nov 2021,34,868
3 Nov 2021,24,814
4 Nov 2021,19,837
5 Nov 2021,19,648
6 Nov 2021,15,622
7 Nov 2021,11,587
8 Nov 2021,12,1283
9 Nov 2021,21,585
10 Nov 2021,14,531
11 Nov 2021,16,470
12 Nov 2021,20,560
13 Nov 2021,16,451
14 Nov 2021,15,503
15 Nov 2021,11,706
16 Nov 2021,15,515
17 Nov 2021,13,458
18 Nov 2021,11,464
19 Nov 2021,5,516
20 Nov 2021,14,379
21 Nov 2021,11,331
22 Nov 2021,5,342
23 Nov 2021,9,434
24 Nov 2021,13,377
25 Nov 2021,16,293
26 Nov 2021,14,386
27 Nov 2021,11,260
28 Nov 2021,1,275
29 Nov 2021,11,419
30 Nov 2021,11,324
1 Des 2021,10,307
2 Des 2021,10,388
3 Des 2021,8,328
4 Des 2021,5,314
5 Des 2021,4,298
6 Des 2021,9,2005
7 Des 2021,17,420
8 Des 2021,16,351
9 Des 2021,9,296
10 Des 2021,5,311
11 Des 2021,6,190
12 Des 2021,7,184
13 Des 2021,12,278
14 Des 2021,12,247
15 Des 2021,9,237
16 Des 2021,10,234
17 Des 2021,7,205
18 Des 2021,12,214
19 Des 2021,4,155
20 Des 2021,11,216
21 Des 2021,11,205
22 Des 2021,10,252
23 Des 2021,8,232
24 Des 2021,5,182
25 Des 2021,6,195
26 Des 2021,2,148
27 Des 2021,8,271
28 Des 2021,8,152
29 Des 2021,10,270
30 Des 2021,7,399
31 Des 2021,6,193
1 Jan 2022,2,165
2 Jan 2022,1,190
3 Jan 2022,5,112
4 Jan 2022,3,168
5 Jan 2022,4,180
6 Jan 2022,7,209
7 Jan 2022,5,214
8 Jan 2022,6,175
9 Jan 2022,2,211
10 Jan 2022,7,244
11 Jan 2022,8,446
12 Jan 2022,6,314
13 Jan 2022,5,385
14 Jan 2022,8,353
15 Jan 2022,4,464
16 Jan 2022,3,710
17 Jan 2022,4,598
18 Jan 2022,9,564
19 Jan 2022,9,504
20 Jan 2022,7,577
21 Jan 2022,2,811
22 Jan 2022,5,627
23 Jan 2022,14,712
24 Jan 2022,7,944
25 Jan 2022,20,869
26 Jan 2022,7,2582
27 Jan 2022,7,1643
28 Jan 2022,7,2028
29 Jan 2022,17,2590
30 Jan 2022,18,3241
31 Jan 2022,17,3290
1 Feb 2022,28,3240
2 Feb 2022,25,5110
3 Feb 2022,38,5993
4 Feb 2022,42,7190
5 Feb 2022,44,10471
6 Feb 2022,57,10569
7 Feb 2022,82,8577
8 Feb 2022,83,10708
9 Feb 2022,65,14016
10 Feb 2022,74,18182
11 Feb 2022,100,15767
12 Feb 2022,107,32570
13 Feb 2022,111,26916
14 Feb 2022,145,13338
15 Feb 2022,134,26747
16 Feb 2022,167,25386
17 Feb 2022,206,39072
18 Feb 2022,216,32904
19 Feb 2022,158,34699
20 Feb 2022,163,32873
21 Feb 2022,176,39929
22 Feb 2022,257,38474
23 Feb 2022,227,39170
24 Feb 2022,317,42518
25 Feb 2022,244,61361
26 Feb 2022,258,41805
27 Feb 2022,229,39384
28 Feb 2022,262,43992
1 Mar 2022,325,39887
2 Mar 2022,376,42935
